"TCS_DATE","CLOSE_PRICE","TWENTY_DAY_MA","FIFTY_DAY_MA"
01-JAN-15,2548.2,2548.2,2548.2
02-JAN-15,2570.85,2559.525,2559.525
05-JAN-15,2537.9,2552.316666666666666666666666666666666667,2552.316666666666666666666666666666666667
06-JAN-15,2446.55,2525.875,2525.875
07-JAN-15,2416.8,2504.06,2504.06
08-JAN-15,2443.85,2494.025,2494.025
09-JAN-15,2512.2,2496.621428571428571428571428571428571429,2496.621428571428571428571428571428571429
12-JAN-15,2512.05,2498.55,2498.55
13-JAN-15,2498.3,2498.522222222222222222222222222222222222,2498.522222222222222222222222222222222222
14-JAN-15,2518.15,2500.485,2500.485
15-JAN-15,2545,2504.531818181818181818181818181818181818,2504.531818181818181818181818181818181818
16-JAN-15,2531.9,2506.8125,2506.8125
19-JAN-15,2509.75,2507.038461538461538461538461538461538462,2507.038461538461538461538461538461538462
20-JAN-15,2499.55,2506.503571428571428571428571428571428571,2506.503571428571428571428571428571428571
21-JAN-15,2511.35,2506.826666666666666666666666666666666667,2506.826666666666666666666666666666666667
22-JAN-15,2512.75,2507.196875,2507.196875
23-JAN-15,2501.7,2506.873529411764705882352941176470588235,2506.873529411764705882352941176470588235
27-JAN-15,2502.8,2506.647222222222222222222222222222222222,2506.647222222222222222222222222222222222
28-JAN-15,2534.7,2508.123684210526315789473684210526315789,2508.123684210526315789473684210526315789
29-JAN-15,2541.35,2509.785,2509.785
30-JAN-15,2481,2506.425,2508.414285714285714285714285714285714286
02-FEB-15,2512.8,2503.5225,2508.613636363636363636363636363636363636
03-FEB-15,2554.8,2504.3675,2510.621739130434782608695652173913043478
04-FEB-15,2514,2507.74,2510.7625
05-FEB-15,2551.9,2514.495,2512.408
06-FEB-15,2576,2521.1025,2514.853846153846153846153846153846153846
09-FEB-15,2515.15,2521.25,2514.864814814814814814814814814814814815
10-FEB-15,2442.95,2517.795,2512.296428571428571428571428571428571429
11-FEB-15,2460.15,2515.8875,2510.498275862068965517241379310344827586
12-FEB-15,2462.8,2513.12,2508.908333333333333333333333333333333333
13-FEB-15,2538.65,2512.8025,2509.867741935483870967741935483870967742
16-FEB-15,2585.25,2515.47,2512.2234375
18-FEB-15,2633.9,2521.6775,2515.910606060606060606060606060606060606
19-FEB-15,2679.7,2530.685,2520.727941176470588235294117647058823529
20-FEB-15,2674.85,2538.86,2525.131428571428571428571428571428571429
23-FEB-15,2695.05,2547.975,2529.851388888888888888888888888888888889
24-FEB-15,2707.15,2558.2475,2534.643243243243243243243243243243243243
25-FEB-15,2671.3,2566.6725,2538.239473684210526315789473684210526316
26-FEB-15,2656.35,2572.755,2541.267948717948717948717948717948717949
27-FEB-15,2663.75,2578.875,2544.33
28-FEB-15,2675.3,2588.59,2547.52439024390243902439024390243902439
02-MAR-15,2670.15,2596.4575,2550.444047619047619047619047619047619048
03-MAR-15,2774.7,2607.4525,2555.659302325581395348837209302325581395
04-MAR-15,2743.4,2618.9225,2559.926136363636363636363636363636363636
05-MAR-15,2696.35,2626.145,2562.957777777777777777777777777777777778
09-MAR-15,2643.15,2629.5025,2564.701086956521739130434782608695652174
10-MAR-15,2642.8,2635.885,2566.362765957446808510638297872340425532
11-MAR-15,2609.35,2644.205,2567.258333333333333333333333333333333333
12-MAR-15,2619,2652.1475,2568.314285714285714285714285714285714286
13-MAR-15,2581.05,2658.06,2568.569
16-MAR-15,2565.35,2659.395,2568.912
17-MAR-15,2580.9,2659.1775,2569.113
18-MAR-15,2560.7,2655.5175,2569.569
19-MAR-15,2594.4,2651.2525,2572.526
20-MAR-15,2609.65,2647.9925,2576.383
23-MAR-15,2610.55,2643.7675,2579.717
24-MAR-15,2593.55,2638.0875,2581.344
25-MAR-15,2573.1,2633.1775,2582.565
26-MAR-15,2513.35,2626.0275,2582.866
27-MAR-15,2516.2,2618.65,2582.827
30-MAR-15,2557.25,2612.7475,2583.072
31-MAR-15,2547.05,2606.5925,2583.375
01-APR-15,2543.4,2595.0275,2584.048
06-APR-15,2546,2585.1575,2584.977
07-APR-15,2586.1,2579.645,2586.472
08-APR-15,2644.35,2579.705,2589.104
09-APR-15,2661.15,2580.6225,2592.293
10-APR-15,2651.95,2582.7525,2595.276
13-APR-15,2650.25,2584.315,2597.587
15-APR-15,2624.7,2586.4975,2599.254
16-APR-15,2585.2,2587.49,2601.338
17-APR-15,2476.2,2582.255,2600.606
20-APR-15,2430.65,2575.7525,2598.123
21-APR-15,2426.85,2567.375,2596.38
22-APR-15,2447.9,2559.2875,2594.3
23-APR-15,2456.85,2551.6025,2591.917
24-APR-15,2496.9,2546.77,2591.552
27-APR-15,2500.3,2543.13,2592.699
28-APR-15,2494.55,2542.19,2593.387
29-APR-15,2485.65,2540.6625,2593.844
30-APR-15,2466.65,2536.1325,2592.404
04-MAY-15,2479.1,2532.735,2590.281
05-MAY-15,2519.25,2531.5275,2587.988
06-MAY-15,2462.85,2527.37,2583.651
07-MAY-15,2543.3,2525.23,2581.02
08-MAY-15,2530.7,2519.5475,2577.733
11-MAY-15,2555.8,2514.28,2574.706
12-MAY-15,2521.2,2507.7425,2571.704
13-MAY-15,2519.95,2501.2275,2568.976
14-MAY-15,2499.95,2494.99,2565.7
15-MAY-15,2509.65,2491.2125,2562.387
18-MAY-15,2519.35,2493.37,2559.371
19-MAY-15,2511.95,2497.435,2554.116
20-MAY-15,2557.55,2503.97,2550.399
21-MAY-15,2557.65,2509.4575,2547.625
22-MAY-15,2619.55,2517.5925,2547.153
25-MAY-15,2601.4,2522.8175,2546.325
26-MAY-15,2606.35,2528.12,2546.265
27-MAY-15,2616.55,2534.22,2546.216
28-MAY-15,2609.95,2540.435,2546.794
29-MAY-15,2610.6,2547.6325,2547.699
01-JUN-15,2616.4,2554.4975,2548.409
02-JUN-15,2600.45,2558.5575,2549.204
03-JUN-15,2610.75,2565.9525,2549.531
04-JUN-15,2606.2,2569.0975,2549.462
05-JUN-15,2572.35,2571.18,2548.698
08-JUN-15,2578.65,2572.3225,2548.4
09-JUN-15,2558.1,2574.1675,2548.1
10-JUN-15,2602.05,2578.2725,2549.874
11-JUN-15,2571,2581.825,2550.97
12-JUN-15,2512.05,2581.945,2550.066
15-JUN-15,2511.8,2581.5675,2549.361
16-JUN-15,2511.05,2581.5225,2548.714
17-JUN-15,2514.95,2579.3925,2548.093
18-JUN-15,2528.55,2577.9375,2546.942
19-JUN-15,2551.1,2574.515,2545.077
22-JUN-15,2595.7,2574.23,2543.768
23-JUN-15,2577.7,2572.7975,2542.283
24-JUN-15,2568.4,2570.39,2540.646
25-JUN-15,2551.75,2567.48,2539.187
26-JUN-15,2594.05,2566.6525,2539.364
29-JUN-15,2593.55,2565.51,2541.711
30-JUN-15,2552.2,2563.0975,2544.142
01-JUL-15,2591.8,2562.15,2547.441
02-JUL-15,2580.85,2560.8825,2550.1
03-JUL-15,2604.8,2562.505,2553.059
06-JUL-15,2632.8,2565.2125,2555.777
07-JUL-15,2619.05,2568.26,2558.152
